patch,layer,cos_gap,cos_point,l2_shift_gap,l2_shift_point,raw_l2_gap,person_overlap
fractal_d3,L81_52x52,0.997664,0.948602,7.106547,61.475780,103.872841,-0.094230
fractal_d3,L93_26x26,0.999412,0.967245,5.200359,33.101837,110.189201,-0.243028
fractal_d3,L105_13x13,0.999722,0.934025,2.716611,51.045391,111.024063,-0.238034
fractal_d4,L81_52x52,0.996779,0.943887,8.360076,69.328880,104.059357,-0.037870
fractal_d4,L93_26x26,0.999085,0.971882,6.403481,28.510380,110.950546,-0.194146
fractal_d4,L105_13x13,0.999556,0.947947,3.521003,43.562412,111.478920,-0.226629
fractal_d5,L81_52x52,0.997200,0.946980,7.730941,59.267262,102.515686,-0.092126
fractal_d5,L93_26x26,0.999260,0.974626,5.421143,27.791222,110.020638,-0.191893
fractal_d5,L105_13x13,0.999630,0.963244,3.100218,36.391430,111.015831,-0.210014
poison,L81_52x52,0.996740,0.943378,8.475963,52.913864,101.317802,-0.184065
poison,L93_26x26,0.998987,0.963654,5.263166,32.754883,108.611237,-0.274505
poison,L105_13x13,0.999613,0.952626,3.083674,46.632565,110.520233,-0.224785
suppress,L81_52x52,0.997123,0.948688,7.856628,53.452301,102.225273,-0.166114
suppress,L93_26x26,0.998993,0.970699,5.144597,29.146481,108.347092,-0.265350
suppress,L105_13x13,0.999636,0.968523,3.018612,34.543133,110.748596,-0.228047
