layer,C,H,W,weak,transform,top1_freq,top1_power,lf,mf,hf,peak_r,top_ch_2d
0,32,416,416,False,raw,416,12561857.0,0.9567593471130569,0.025950775654363486,0.017289877232579583,1,"[12, 26, 11, 10, 13]"
1,64,208,208,False,raw,208,282112.21875,0.8634126748012053,0.05612752733118892,0.08045979786760572,1,"[39, 20, 33, 51, 48]"
5,128,104,104,False,raw,104,25563.36328125,0.7557442527049495,0.09645362875542698,0.14780211853962352,1,"[46, 71, 10, 39, 62]"
12,256,52,52,False,raw,52,988.3442993164062,0.6528501094783159,0.16196790803942016,0.18518198248226383,1,"[7, 44, 185, 19, 107]"
37,512,26,26,False,raw,26,129.4071807861328,0.5376936074843425,0.2134924572449162,0.24881393527073983,1,"[74, 19, 464, 204, 309]"
54,512,26,26,False,raw,26,229.23023986816406,0.5783221490678596,0.26316955934116093,0.1585082915909786,1,"[385, 141, 146, 380, 51]"
60,512,26,26,False,raw,1,146.51287841796875,0.5092675413687964,0.28325388916772215,0.20747856946348023,1,"[5, 213, 465, 441, 271]"
62,1024,13,13,False,raw,13,7.387243747711182,0.2562693622060768,0.40761306822677634,0.3361175695671132,1,"[130, 866, 3, 711, 346]"
63,512,13,13,False,raw,13,15.21280574798584,0.25609545841787423,0.42716080138510565,0.3167437401970023,1,"[207, 310, 116, 169, 422]"
75,512,13,13,False,raw,1,29.93510627746582,0.3438277810777938,0.4069610326609453,0.24921118626125147,1,"[170, 262, 38, 424, 155]"
81,255,13,13,False,raw,1,1245.6348876953125,0.6623518494193884,0.2884462193925753,0.04920193118803601,1,"[90, 175, 29, 109, 35]"
84,256,13,13,False,raw,1,78.00531768798828,0.5319347644481608,0.33790446411998265,0.13016077143185226,1,"[150, 95, 111, 56, 32]"
92,512,26,26,False,raw,1,1515.9560546875,0.8144575173752717,0.14006213499830686,0.04548034762642121,1,"[267, 8, 9, 369, 208]"
93,255,26,26,False,raw,1,11962.8369140625,0.8286297544138406,0.14127012909155373,0.03010011649460573,1,"[174, 41, 126, 211, 175]"
105,255,52,52,False,raw,1,182486.359375,0.9415942433763839,0.05330088258891787,0.00510487403469823,1,"[211, 41, 14, 126, 212]"
